序号,需求名称,优先级,吸量机制,付费钩子,差异化(新在哪),承诺兑现(玩得到吗),改动点/要求,文案(英文),参考
1,V-门徒收服,放量,悬念(独子被绑)+欲望(收服权力)+视觉冲击(街头火并),强（收服→PULL FOR MORE 抽卡）,浴血公式+独子被绑情感钩子，贴题非换皮,门徒收服是真实系统，能玩到,完整分镜见 Sheet2，前3秒必须立起'独子被绑'情感钩子,Run the city. Recruit the family.,浴血黑帮+招募表演
2,V-门徒抽卡,放量,悬念(抽不抽)+欲望(抽卡赌博),极强（商业化核心）,黑帮×抽卡+绯夜角色，合并原抽卡演示,抽卡是真实核心玩法,完整分镜见 Sheet2，覆盖'想抽谁→为什么值钱→用在哪'全链条,Pull for power. She's waiting.,门徒抽卡UI+绯夜
3,V-模拟经营复测,放量(复测),代入/想玩（经营实录）,中（经营扩张→付费）,复测非新素材，价值在修复,核心（这条就是修复承诺兑现）,合并经营闭环演示，严格单变量：固定FB版位+固定商店页+原版vs新版对比,Build it. Run it. Own the block.,7月模拟经营原版/新版
4,V-招募表演-门徒迭代,试点,悬念(谁上场)+欲望(绯夜日式角色),强（首充门徒）,弱（换皮，靠绯夜角色差异化）,门徒招募真实,明确绯夜差异化（日式情人+蛇纹），别只换皮；保留招募钩子,Fresh blood. Who steps up?,7月招募表演+绯夜立绘
5,V-卧底暴露,试点,好奇/悬念（身份反转）,弱,换皮但贴题（卧底是黑帮经典）,剧情向，游戏里玩不到（留存风险标注）,保留命运反转公式，剧本贴黑帮幻想（卧底/背叛），别偏题,The mask comes off. Here I am.,晋级失败被捕
6,V-鸡公打丧尸,谨慎试点,情绪/好笑（反差）,弱,换对象，警惕丢'鸡'反差,恶搞向，货不对板风险,必须保留'鸡'这个核心反差元素+结尾补复仇反转（修正7月叙事断裂）,A nobody. A chicken. And zombies.,鸡公大侠
7,V-打丧尸枪战,谨慎试点,代入/想玩（实录）,弱,丧尸题材扩展（制作人储备）,枪战玩法需先确认游戏里有没有,避免裸录屏（2月战斗形式教训），加等级/装备成长字幕包装,Day one: a rusty pistol.,丧尸题材储备
8,V-擦边酒吧,谨慎试点,欲望（性暗示/禁忌）,弱,黑帮擦边差异化,风险高（吸来性好奇人群，非目标用户）,合规前置评估，留存风险标注，单条小预算试探,The best deals after midnight.,浴血黑帮氛围
9,P-炸鸡店迭代,放量,情绪/好笑（反差萌）,弱（Install优先）,独家已验证（黑帮×炸鸡）,经营玩法真实,迭代精化，Install 优先，图片AEO无效,（图片，无配音）,7月炸鸡店
10,P-披萨店迭代,试点,情绪/好笑（反差萌）,弱,炸鸡公式复制（公式裂变非换皮）,经营玩法真实,复制炸鸡公式，低成本量产,（图片，无配音）,7月披萨店
11,P-美漫分镜-帮派火并,试点,视觉冲击,弱,美漫新画风（相对写实/UE）,枪战题材,低成本图片测CPI，<$2再做视频,（图片，无配音）,7月美漫分镜
12,P-美漫分镜-地盘争夺,试点,视觉冲击+代入（想玩）,弱,战术地图差异化,策略题材,低成本图片，黄色高亮+箭头沿用7月TURF PATROL风格,（图片，无配音）,7月美漫地图
13,P-美漫分镜-角色升级,试点,视觉冲击+好奇（命运反转视觉化）,中（养成付费暗示）,命运反转的图片化表达,养成题材,低成本图片，左右对比（落魄→大佬）+升级光效,（图片，无配音）,晋级失败被捕风格
